Geneid	A1_S61_early_BHI_1	A2_S62_early_BHI_2	A3_S63_early_BHI_3	A7_S64_late_BHI_1	A8_S65_late_BHI_2	A9_S66_late_BHI_3	B1_S67_early_butyrate_1	B2_S68_early_Butyrate_2	B3_S69_early_Butyrate_3	B7_S70_late_Butyrate_1	B8_S71_late_Butyrate_2	B9_S72_late_Butyrate_3
cds-CAJ67798.1	181	233	238	307	279	169	143	837	730	604	912	893
cds-CAJ67799.1	310	400	374	280	454	324	218	501	315	274	462	555
cds-CAJ67800.1	144	98	131	78	178	132	157	162	212	190	273	180
cds-CAJ67801.1	20	26	28	48	33	29	55	55	61	119	153	84
cds-CAJ67802.1	14	8	8	14	10	30	18	45	59	37	75	41
cds-CAJ67803.1	6	0	0	0	2	6	2	1	0	6	2	4
cds-CAJ67804.1	3	1	4	6	2	4	9	2	0	5	0	2
cds-CAJ67805.1	31	4	3	14	1	18	34	10	15	25	5	13
cds-CAJ67806.1	13	6	7	4	11	4	17	10	23	19	12	14
cds-CAJ67807.1	9	20	10	6	6	4	11	16	14	8	6	8
cds-CAJ67808.1	343	236	306	408	418	236	470	1171	1694	2175	2135	862
cds-CAJ67809.1	37	27	48	39	57	26	68	99	105	124	151	89
cds-CAJ67810.1	1	1	1	5	0	1	2	17	17	14	21	6
cds-CAJ67811.1	0	0	0	0	0	1	2	4	2	5	5	0
cds-CAJ67812.1	1	0	0	0	1	3	2	0	1	4	2	2
cds-CAJ67813.1	12	10	15	16	14	2	10	48	26	43	34	29
cds-CAJ67814.1	1	0	1	0	4	0	0	3	25	32	22	32
cds-CAJ67815.1	0	0	0	0	0	0	0	2	4	5	4	13
cds-CAJ67816.1	36	47	34	61	35	24	32	1776	1852	2049	2904	4826
cds-CAJ67817.1	1822	1480	1973	1546	1620	1195	1503	1986	2008	2752	3017	4056
cds-CAJ67818.1	5918	4831	5472	5082	4851	4050	4038	5223	4420	6766	8573	9294
cds-CCA62814.1	1	1	6	2	2	1	0	25	17	8	10	30
cds-CAJ67819.1	458	1488	2543	2036	4161	16141	1149	2036	849	790	3006	10075
cds-CAJ67820.1	0	0	0	0	0	0	0	0	3	0	1	0
cds-CAJ67821.1	0	1	0	0	2	0	0	2	4	2	5	18
cds-CAJ67822.1	77	62	87	68	35	2	28	457	473	542	654	453
cds-CAJ67823.1	343	235	234	192	107	18	134	509	489	596	572	425
cds-CAJ67824.1	254	242	228	223	117	20	149	258	325	769	427	300
cds-CAJ67825.2	686	700	940	649	621	142	511	602	533	1272	828	631
cds-CAJ67826.1	2129	1706	1896	1213	1384	148	1348	1712	1310	1854	1680	1371
cds-CAJ67827.1	2835	2338	2127	2582	2098	424	1802	4350	2927	3173	4651	4147
cds-CAJ67828.1	479	422	596	385	468	106	381	692	352	494	524	362
cds-CAJ67829.1	31	39	61	37	28	4	48	84	82	57	107	78
cds-CAJ67830.1	148	112	66	148	140	6	86	60	16	72	38	20
cds-CAJ67831.1	138	108	81	57	95	9	48	57	16	65	24	34
cds-CAJ67832.1	16	9	15	5	28	4	6	11	14	13	4	12
cds-CAJ67833.1	162	124	147	110	139	31	113	81	60	156	90	84
cds-CAJ67834.1	177	250	433	328	537	146	242	327	241	214	415	370
cds-CAJ67835.1	134799	62807	17856	55127	11067	2060	40005	2406	1889	12213	4555	1158
cds-CAJ67836.1	140903	63939	18446	61178	10244	1781	38200	1302	1052	7861	2561	822
cds-CAJ67837.1	57753	32308	8364	30746	5362	826	17664	811	672	5353	1523	627
cds-CAJ67838.2	543	634	779	649	733	80	454	1463	2729	3707	3302	1746
cds-CAJ67839.1	2571	2366	2846	2195	2094	258	1730	1370	1688	1684	1513	829
cds-CAJ67840.1	1531	1278	1821	1447	1571	2589	1338	2205	1916	1774	2951	2131
cds-CAJ67841.1	30	16	27	35	47	24	32	148	143	151	243	105
cds-CAJ67842.1	14	5	11	17	20	13	14	184	212	164	245	128
cds-CAJ67843.1	44	55	81	35	47	17	52	107	75	85	134	75
cds-CAJ67844.1	341	407	619	406	629	106	279	418	344	472	579	431
cds-CAJ67845.1	145	224	285	173	262	76	137	194	185	318	361	251
cds-CAJ67846.1	521	661	1009	714	1129	297	567	939	778	1090	1242	953
cds-CAJ67847.1	305	350	704	353	415	120	289	362	312	520	532	329
cds-CAJ67848.1	126	117	241	132	127	71	93	305	345	398	584	281
cds-CAJ67849.1	905	755	848	882	402	129	649	792	816	862	1128	1064
cds-CAJ67850.1	2296	1160	681	747	347	805	1304	382	398	357	198	321
cds-CAJ67851.2	2181	1096	819	818	342	863	1244	461	659	602	372	431
cds-CAJ67852.1	2469	1141	971	913	540	839	1102	737	781	739	766	879
cds-CAJ67853.2	17	6	4	8	7	15	17	106	97	78	194	336
cds-CAJ67854.1	96	74	114	125	127	93	82	147	130	157	336	302
cds-CAJ67855.1	241	185	267	285	257	231	206	421	431	467	844	664
cds-CAJ67856.1	352	286	192	202	101	45	110	850	887	872	1271	1045
cds-CAJ67857.1	18	10	18	15	3	0	8	313	437	320	510	428
cds-CAJ67858.1	113	70	84	114	94	48	94	169	268	238	277	162
cds-CAJ67859.1	245	235	265	228	195	104	162	244	290	390	251	175
cds-CAJ67860.1	2	0	0	0	0	0	0	2	4	4	12	2
cds-CAJ67861.1	8	2	10	4	2	2	3	2	14	6	12	16
cds-CAJ67862.1	24	12	28	38	24	2	33	32	38	96	52	56
cds-CAJ67863.1	84	84	74	61	41	63	60	45	24	52	67	126
cds-CAJ67864.1	4	4	3	2	4	1	2	16	15	12	5	10
cds-CAJ67865.1	138	70	137	79	67	40	88	111	100	362	258	211
cds-CAJ67866.1	85	76	90	45	45	17	65	125	118	529	433	240
cds-CAJ67867.1	208	162	274	131	138	39	106	178	165	638	701	407
cds-CAJ67868.1	319	335	699	148	198	136	235	360	355	1288	1413	866
cds-CAJ67869.1	0	0	0	0	0	0	0	16	25	326	46	91
cds-CAJ67870.2	40	20	22	33	12	22	18	112	94	650	172	193
cds-CAJ67871.1	54	44	40	29	26	14	30	55	49	596	146	159
cds-CAJ67872.1	44	52	30	55	18	18	28	105	91	578	226	193
cds-CAJ67873.1	32	36	39	66	32	24	43	266	399	929	609	549
cds-CAJ67874.1	117	71	94	199	128	56	159	336	353	1054	714	546
cds-CAJ67875.1	23	16	14	39	34	34	22	102	93	141	220	118
cds-CAJ67876.2	7965	7290	10020	6909	6735	3619	5123	5996	5340	5635	9428	6987
cds-CAJ67877.2	6190	5325	7444	5114	4968	2542	3717	4220	3662	4113	6797	5113
cds-CAJ67878.1	62	74	50	96	39	19	67	415	272	247	365	231
cds-CAJ67879.1	758	452	561	795	431	174	544	1025	744	837	1162	509
cds-CAJ67880.1	44	35	26	42	39	9	24	160	114	145	181	64
cds-CAJ67881.1	1762	1295	1020	1614	937	294	1315	2381	1653	3037	2067	989
cds-CAJ67882.1	1950	1673	1387	2082	1508	469	1868	2740	1729	3439	2380	1282
cds-CAJ67883.1	722	742	729	885	737	292	901	898	507	1213	937	448
cds-CAJ67884.1	873	760	551	1176	725	396	931	2169	1637	4286	2985	2111
cds-CAJ67885.1	4953	4238	5334	6179	4964	3664	5394	5436	3993	5859	7458	5435
cds-CAJ67886.1	41	68	74	59	34	16	64	103	136	1002	314	465
cds-CAJ67887.1	1221	972	866	1439	1038	162	988	812	1114	1530	1556	2061
cds-CAJ67888.1	1386	1621	2367	1351	1514	383	822	1158	976	1256	1394	763
cds-CAJ67889.1	1003	1136	1552	1550	1295	592	1231	1588	1180	1324	2585	2138
cds-CAJ67890.1	2806	2658	3745	3682	2789	1634	3033	4633	4277	4778	8802	5911
cds-CAJ67891.1	1074	695	981	821	811	440	616	1051	873	880	1539	946
cds-CAJ67892.2	20	58	35	55	49	35	28	243	250	215	430	375
cds-CAJ67893.1	29	54	62	86	36	28	36	343	249	359	361	231
cds-CCA62815.1	14	16	12	24	22	12	11	14	34	18	36	24
cds-CAJ67894.1	1076	1538	2760	1524	3129	1601	1334	2462	1283	1592	2946	1361
cds-CAJ67895.1	38640	49448	81976	67824	153057	53848	80524	142084	142042	146975	228617	198430
cds-CAJ67896.2	24083	31947	45900	44994	85882	30100	55094	95166	91119	99764	130177	113272
cds-CAJ67897.1	30318	40881	55568	57235	100622	46503	63799	111624	97020	101829	160845	138843
cds-CAJ67898.1	33317	38827	53536	54386	90981	50942	63540	105434	96351	102943	139635	120299
cds-CAJ67899.1	23859	28741	36988	55272	65193	83126	49702	152253	170000	180998	260552	275264
cds-CAJ67900.1	27586	35515	49988	55723	99906	146418	54863	77933	76716	85746	117698	142374
cds-CAJ67901.1	246	267	296	316	364	135	162	467	339	383	503	328
cds-CAJ67902.1	354	381	353	545	429	495	285	1201	1336	1574	2482	1814
cds-CAJ67903.1	2633	3451	4175	2961	3075	2067	2469	2058	977	1326	1855	2090
cds-CAJ67904.1	7	4	11	12	12	5	4	36	81	421	233	552
cds-CAJ67905.1	11	0	9	4	1	6	4	10	30	67	50	134
cds-CAJ67906.1	6	4	0	5	0	5	1	7	27	60	24	127
cds-CAJ67907.1	0	6	0	3	0	1	3	3	20	59	12	123
cds-CAJ67908.1	5198	4187	5620	2318	2948	3144	2318	2692	2047	3312	2885	2421
cds-CAJ67909.1	32	25	10	6	6	24	63	85	406	3597	954	2118
cds-CAJ67910.1	0	0	0	0	0	0	0	14	19	311	110	141
cds-CAJ67911.1	2961	1918	1040	766	661	2689	2241	1373	2042	4141	1598	16018
cds-CAJ67912.1	147	85	98	108	58	8	82	625	992	11114	2484	3332
cds-CAJ67913.1	812	721	792	504	327	36	469	398	264	412	349	306
cds-CAJ67914.1	429	258	269	345	113	81	199	593	646	735	922	661
cds-CAJ67915.1	671	676	903	564	632	118	396	674	450	696	592	347
cds-CAJ67916.1	1399	1219	1733	951	1137	270	896	1341	1093	1205	1511	944
cds-CAJ67917.1	279	252	218	199	111	77	239	219	120	215	249	139
cds-CAJ67918.1	142	114	91	73	83	68	137	93	58	108	76	44
cds-CAJ67919.1	433	315	247	190	175	119	286	278	100	169	233	102
cds-CAJ67920.1	327	225	205	169	102	75	212	190	130	164	131	88
cds-CAJ67921.1	278	252	210	136	203	131	254	148	50	207	163	87
cds-CAJ67922.1	550	408	312	293	236	209	387	247	122	267	286	127
cds-CAJ67923.1	3638	2927	3792	6049	3016	1952	4446	5890	4319	7714	10271	8616
cds-CAJ67924.1	634	601	624	489	418	260	443	920	940	801	1282	934
cds-CAJ67925.1	805	846	728	960	533	120	741	995	530	664	905	638
cds-CAJ67926.1	16	46	42	39	27	7	23	59	29	30	44	61
cds-CAJ67927.1	167	153	208	202	219	237	138	128	78	115	189	239
cds-CAJ67928.1	4319	3681	4453	3501	2970	525	3175	3084	2198	3223	3095	1489
cds-CAJ67929.1	18351	13291	13670	16293	10712	435	18947	12402	3328	10643	6196	2344
cds-CAJ67930.2	18903	15244	18841	16320	14687	1065	19528	13582	4573	10801	6854	2271
cds-CAJ67931.1	705	314	103	117	46	34	280	142	121	319	90	563
cds-CAJ67932.1	240	58	48	61	33	38	78	138	104	133	144	322
cds-CAJ67933.1	95	70	66	33	26	24	52	65	77	71	74	130
cds-CD630_10900	123	100	112	84	51	37	66	200	354	352	338	382
cds-CAJ67935.1	11319	7139	4409	7046	4961	2457	8014	5662	10696	16663	11216	10617
cds-CAJ67936.1	6	4	8	8	11	4	29	27	17	37	22	28
cds-CAJ67937.1	10	0	3	7	8	9	33	21	31	24	30	79
cds-CAJ67938.1	34	8	13	23	13	30	87	46	63	87	100	173
cds-CAJ67939.2	760	631	749	613	724	459	551	940	903	1436	1122	621
cds-CAJ67940.1	606	410	529	540	508	347	370	735	578	957	801	452
cds-CAJ67941.1	1801	1416	1961	1336	1977	842	1426	1321	1065	1906	1267	868
cds-CAJ67942.1	697	568	723	863	909	204	719	545	416	1212	1197	1006
cds-CAJ67943.1	198	204	145	181	199	57	216	233	180	368	328	349
cds-CAJ67944.1	40	15	30	14	11	10	34	29	16	17	20	14
cds-CAJ67945.1	1	0	0	0	2	0	5	0	2	10	0	0
cds-CAJ67946.1	0	1	0	0	0	4	0	0	0	0	2	0
cds-CAJ67947.1	0	1	4	2	0	4	2	0	0	6	0	2
cds-CAJ67948.1	263	213	263	151	260	41	161	176	126	125	148	182
cds-CAJ67949.1	615	537	771	531	758	233	586	545	507	801	954	632
cds-CAJ67950.1	1543	1172	1306	1063	1316	358	1011	1232	1088	1415	1502	1245
cds-CAJ67951.1	114	107	114	68	180	49	135	107	60	88	74	55
cds-CAJ67952.1	30	46	28	21	38	17	32	37	55	34	37	16
cds-CAJ67953.1	24	51	35	18	36	15	22	22	35	20	20	24
cds-CAJ67954.1	1	10	8	6	10	14	3	8	4	14	12	0
cds-CAJ67955.1	0	0	0	0	0	1	3	0	0	0	0	0
cds-CAJ67956.1	3	7	0	4	0	5	2	2	3	2	2	0
cds-CAJ67957.1	7	1	0	0	2	1	3	0	3	0	0	0
cds-CAJ67958.1	1	0	2	2	0	6	1	6	0	4	0	0
cds-CAJ67959.1	0	1	0	0	10	0	4	8	2	4	0	8
cds-CAJ67960.1	6	2	0	6	4	1	16	4	5	16	6	10
cds-CAJ67961.1	0	0	0	0	0	1	2	0	2	2	0	2
cds-CAJ67962.1	3	0	3	2	6	2	7	8	8	16	4	17
cds-CAJ67963.1	0	0	0	0	0	1	1	0	5	0	0	2
cds-CAJ67964.1	0	0	0	0	0	1	0	0	3	1	0	2
cds-CAJ67965.1	4	0	0	8	0	2	14	12	20	16	6	24
cds-CAJ67966.1	0	0	2	0	0	0	2	1	2	6	0	0
cds-CAJ67967.1	0	0	2	0	0	1	1	0	0	0	0	2
cds-CAJ67968.1	17	23	7	8	8	5	10	12	2	15	5	12
cds-CAJ67969.1	4	10	0	4	1	0	6	11	10	52	6	28
cds-CAJ67970.1	1227	961	825	1223	1159	679	1398	1686	1878	2186	2033	1901
cds-CAJ67971.1	110	87	109	144	151	50	125	465	528	532	535	551
cds-CAJ67972.1	449	345	430	495	431	303	395	468	292	396	553	511
cds-CAJ67973.1	24	28	40	45	37	22	9	319	482	428	858	863
cds-CAJ67974.1	276	269	372	339	432	115	275	570	680	654	1160	1203
cds-CAJ67975.1	1006	941	961	1300	896	1089	868	989	1019	1397	1735	2171
cds-CAJ67976.1	18123	13576	17446	11902	11310	64080	8957	16643	10446	12256	16991	7964
cds-CAJ67977.1	2566	1806	2110	721	630	289	470	780	590	720	661	289
cds-CAJ67978.1	18	7	2	4	2	4	9	21	23	16	42	49
cds-CAJ67979.1	112	107	218	85	125	140	69	174	124	167	266	211
cds-CAJ67980.1	1657	1317	1435	1586	1219	370	1212	1706	2254	12836	4558	4378
cds-CAJ67981.1	142	92	135	115	140	36	96	158	135	557	229	307
cds-CAJ67982.1	315	231	234	258	211	45	203	328	422	2292	835	734
cds-CAJ67983.1	839	753	859	986	669	209	627	1451	1620	8002	3422	3335
cds-CAJ67984.1	156	117	166	173	160	111	85	261	147	680	346	713
cds-CAJ67985.1	99	107	222	86	210	100	106	617	492	1354	1080	1651
cds-CAJ67986.1	683	560	572	666	550	289	454	379	251	344	353	294
cds-CAJ67987.1	20409	16503	19762	17113	16172	9661	14557	17146	12042	13957	17821	15204
cds-CAJ67988.1	528	513	662	696	390	246	518	1903	1705	4343	3026	3217
cds-CAJ67989.1	14204	11607	18255	12967	20662	10442	14069	17998	10721	22430	19509	10113
cds-CAJ67990.1	5366	4429	6462	5286	7569	4448	5550	7892	4300	8176	7513	4351
cds-CAJ67991.1	6603	4792	6220	4960	8826	5232	5535	5581	2997	6864	5183	2584
cds-CAJ67992.1	4791	3377	4946	4329	5708	4279	4218	6335	4020	8767	8046	3294
cds-CAJ67993.1	1537	1305	1676	1620	1970	1564	1516	3463	1923	4188	3761	1720
cds-CAJ67994.1	6566	6028	9103	7409	11152	10061	6980	8025	4287	10079	7690	4103
cds-CAJ67996.1	10723	9422	11580	6320	8330	1346	5967	5330	4846	5042	5211	3780
cds-CAJ67997.1	12435	10769	13133	7656	8948	1388	6916	7112	7354	7940	7851	4827
cds-CAJ67998.1	14949	13522	16118	9518	13572	1910	8937	8606	7723	8492	8322	5373
cds-CAJ67999.1	5416	4361	3847	4007	4220	625	3396	3172	2350	2339	2461	1352
cds-CAJ68000.1	655	527	395	719	448	72	371	2031	1630	1541	1334	898
cds-CAJ68001.1	32731	26462	22569	21144	23265	2997	18593	14699	11199	12092	8742	4004
cds-CAJ68002.1	6192	4900	3929	5296	4608	1614	4714	6097	7032	8244	9898	5179
cds-CAJ68003.1	14853	11826	12041	13835	12007	5864	14538	14226	18424	21797	22564	14047
cds-CAJ68004.1	5910	4610	5251	6043	4908	3131	6090	7314	7869	9820	10524	7646
cds-CAJ68005.1	7382	5711	5887	6733	4905	1641	5729	8661	11455	12200	12224	5119
cds-CAJ68006.1	4567	3507	3474	4403	2846	1356	3267	4666	5823	7047	7370	2996
cds-CAJ68007.1	0	0	0	0	0	0	0	2	0	0	0	4
cds-CAJ68008.1	7	0	8	4	8	0	1	14	30	39	31	85
cds-CAJ68009.1	34225	43536	72968	25492	31196	15252	27658	38538	43738	25132	45410	31029
cds-CAJ68010.1	18461	13849	22108	15677	23939	57274	13129	37586	23489	23971	49683	35266
cds-CAJ68011.1	2966	2901	4006	3220	3795	1387	2480	5660	4637	3937	6209	3951
cds-CAJ68012.1	215	220	229	312	252	84	154	1577	1097	1104	1415	1016
cds-CAJ68013.1	1417	1260	1520	1510	1730	447	1041	2737	2153	2249	2900	1698
cds-CAJ68014.1	33151	27723	39306	23755	30438	3487	22986	24187	24339	29118	33376	13937
cds-CAJ68015.1	13215	11320	14548	10826	12186	1502	9896	11883	12344	12960	15926	6994
cds-CAJ68016.1	2448	3116	2753	2210	3324	339	1564	3614	2195	2424	3551	1740
cds-CAJ68017.1	2188	1761	1858	1231	1696	111	1072	1311	1150	1258	1046	363
cds-CAJ68018.1	2188	2545	3351	1833	2948	140	1941	1920	1698	1856	1585	361
cds-CAJ68019.1	723	606	509	531	283	255	343	292	183	194	244	155
cds-CAJ68020.1	168	147	147	71	42	30	112	246	649	8665	2909	2534
cds-CAJ68021.1	32	12	0	19	18	2	52	315	831	10671	2957	3797
cds-CAJ68022.1	48	80	63	69	38	109	82	93	108	112	171	116
cds-CAJ68023.1	76	69	112	122	85	747	152	99	111	163	255	352
cds-CAJ68024.1	58	58	73	99	87	755	105	94	169	159	197	355
cds-CAJ68025.1	361	378	672	600	739	4801	790	665	924	1001	1386	1966
cds-CAJ68026.1	394	325	488	556	728	4325	661	867	1387	1554	2026	2486
cds-CAJ68027.1	247	137	212	290	133	39	155	829	912	1589	1248	1142
cds-CAJ68028.1	20699	19660	25928	14710	21388	7126	17028	19703	21924	26192	29171	22941
cds-CAJ68029.1	3416	4471	3927	3197	3122	526	2803	5456	5049	5864	5958	4205
cds-CAJ68030.1	1803	2485	2674	1298	2323	601	1130	1453	967	1220	1097	1263
cds-CAJ68031.1	17588	11924	11687	13465	9378	552	14193	12319	8096	11795	4389	3321
cds-CAJ68032.1	32965	18601	15469	19685	13598	732	21863	17726	11423	16969	6195	4387
cds-CAJ68033.1	15275	10191	7454	9926	7356	352	11228	8338	4125	5584	2105	1856
cds-CAJ68034.1	17839	12553	9811	10337	8789	450	12845	8062	4772	6124	2121	1607
cds-CAJ68035.1	13981	9682	7714	7695	6613	371	10007	6330	2941	3707	1620	1306
cds-CAJ68036.1	19112	12666	10545	10757	7699	483	13658	9502	6280	7870	3700	2141
cds-CAJ68037.1	1984	2004	1800	1365	1506	70	1534	1457	914	990	798	453
cds-CAJ68038.1	30070	23070	24274	15416	14314	879	19687	19704	12530	15526	8998	6333
cds-CAJ68039.1	285	357	390	350	362	130	313	656	730	673	1139	948
cds-CAJ68040.1	508	449	480	607	542	132	419	1270	1544	1405	2147	1386
cds-CAJ68041.1	0	0	0	0	0	0	1	1	0	0	0	0
cds-CAJ68042.1	0	0	4	0	0	0	1	3	0	2	0	2
cds-CAJ68043.1	263	126	160	120	70	32	80	44	51	141	80	74
cds-CAJ68044.1	870	696	761	500	533	127	484	745	522	475	559	725
cds-CAJ68045.1	7081	5717	7120	5156	5167	2889	4145	8293	7476	7112	12074	8836
cds-CAJ68046.1	12	4	2	0	4	4	94	104	384	5140	1369	1735
cds-CAJ68047.1	0	0	0	0	0	0	2	34	98	1122	318	415
cds-CAJ68048.2	0	1	2	0	0	2	14	20	68	1112	235	354
cds-CAJ68049.1	5	1	0	4	3	4	27	153	590	8227	1696	1852
cds-CAJ68050.1	4	4	0	6	1	0	39	243	630	9065	2008	2280
cds-CAJ68051.1	11	2	0	7	14	1	43	100	272	3834	780	848
cds-CAJ68052.1	1	4	0	3	7	0	49	125	286	4513	737	1019
cds-CAJ68053.1	10	2	4	8	7	4	70	487	1468	18629	3769	5755
cds-CAJ68054.1	28	69	25	42	74	52	25	65	77	238	101	119
cds-CAJ68055.1	159	138	195	149	173	32	111	439	614	517	829	423
cds-CAJ68056.1	412	342	283	345	241	33	264	759	710	779	729	336
cds-CAJ68057.1	1799	1298	1271	1163	898	185	1106	1258	1245	1557	1549	1090
cds-CAJ68058.1	13	4	7	1	0	0	3	92	66	56	89	68
cds-CAJ68059.1	1281	1062	1291	819	1032	207	766	751	715	670	807	631
cds-CAJ68060.1	2238	1452	1347	1311	1128	294	1057	1398	1106	1189	1739	1066
cds-CAJ68061.1	5749	4540	5177	4038	4160	831	3796	4758	4305	5030	5229	3803
cds-CAJ68062.1	190	201	307	216	206	22	103	207	241	237	332	215
cds-CAJ68063.1	2221	2380	2772	2327	2474	389	1648	3074	3031	3523	4164	2405
cds-CAJ68064.1	362	404	375	390	299	41	216	573	599	546	736	459
cds-CAJ68065.1	208	228	283	456	409	115	242	1838	2075	1353	2540	2571
cds-CAJ68066.1	76	83	51	186	111	32	61	1713	1496	1217	1864	2268
cds-CAJ68067.1	20	22	36	23	46	26	16	46	40	118	33	44
cds-CAJ68068.1	12598	13247	16135	27679	23806	13390	21827	26868	44320	38950	64700	38732
cds-CAJ68069.1	2619	2188	2280	2413	2244	547	1786	2257	2076	1904	3222	1858
cds-CAJ68070.1	672	649	575	969	542	97	592	2421	2703	2409	4517	2003
cds-CAJ68071.1	977	925	821	1060	825	224	807	1785	1347	1592	1866	1139
cds-CAJ68072.1	1560	1487	1632	1753	1445	302	1776	3076	2673	2918	3834	2121
cds-CAJ68073.1	3487	2966	3008	3125	2712	504	2742	4075	2884	3034	4087	2648
cds-CAJ68074.1	3119	2540	2967	2762	2836	535	2722	3162	3541	4629	4295	2365
cds-CAJ68075.1	73	93	80	117	57	14	91	1027	1181	2204	2213	1798
cds-CAJ68076.1	1123	1021	884	1135	858	187	1302	2553	2933	5129	4566	3053
cds-CAJ68077.1	3474	3314	3541	3589	3257	656	3647	3375	3318	6416	5124	2922
cds-CAJ68078.1	4091	3587	4329	3925	4186	1013	4664	3489	3530	6795	5550	2640
cds-CAJ68079.1	499	394	545	505	577	168	572	538	563	1178	854	368
cds-CAJ68080.1	438	404	668	534	508	316	354	1508	1656	2619	3043	2720
cds-CAJ68081.1	129	159	165	77	102	13	32	239	323	252	360	250
cds-CAJ68082.1	2641	3024	4301	1688	2563	530	1549	1902	2342	2648	2598	1541
cds-CAJ68083.1	585	425	584	224	311	77	261	679	1394	5748	1455	860
cds-CAJ68084.3	389	323	223	210	184	120	259	489	538	2216	837	1226
cds-CAJ68085.1	1795	1194	1050	1402	950	374	1331	1957	1917	2089	2630	1437
cds-CAJ68086.1	107	118	136	124	68	189	96	414	449	484	943	778
cds-CAJ68087.1	151	177	264	181	210	546	207	422	329	368	470	531
cds-CAJ68088.1	223	525	832	656	1127	3865	364	1115	800	800	2680	3062
cds-CCA62816.1	7	2	4	8	4	6	9	107	102	59	187	435
cds-CCA62817.1	0	0	4	0	5	1	1	17	30	6	10	14
cds-CCA62818.1	0	3	6	1	5	0	4	0	8	1	10	7
cds-CAJ68089.1	12	1	14	12	8	4	5	8	42	19	34	49
cds-CCA62819.1	0	0	0	0	0	0	0	0	3	1	14	1
cds-CAJ68090.1	10	24	8	37	18	18	16	150	187	240	221	192
cds-CD630_12360	321	258	439	395	434	215	337	675	820	1365	957	676
cds-CCA62820.1	3	0	3	1	2	0	0	16	25	31	41	26
cds-CAJ68093.1	0	0	0	5	12	2	0	42	20	42	34	68
cds-CCA62821.1	13	13	10	36	30	2	27	32	17	48	28	21
cds-CD630_12382	56	47	71	113	140	3	40	53	18	80	57	48
cds-CAJ68094.1	22	12	27	13	16	14	16	22	12	18	46	27
cds-CAJ68095.1	213	127	144	138	85	16	106	545	296	300	429	539
cds-CAJ68096.1	0	0	2	0	0	0	0	1	11	9	8	11
cds-CAJ68097.1	0	0	0	0	0	0	0	6	26	52	25	38
cds-CAJ68098.1	0	2	0	0	0	0	0	20	32	97	42	59
cds-CAJ68099.1	8	6	4	9	6	2	6	17	55	151	72	76
cds-CAJ68100.1	2	0	0	3	0	0	0	30	38	197	45	33
cds-CAJ68101.1	4397	5987	7438	6016	7263	1866	4649	6858	6493	6289	7656	4497
cds-CAJ68102.1	895	1088	1220	714	924	1183	639	987	762	1534	901	888
cds-CAJ68103.1	511	493	373	304	389	66	297	361	238	170	235	128
cds-CAJ68104.1	1535	1315	1165	1620	1077	520	1151	2324	2038	1796	2925	1881
cds-CAJ68105.1	1097	1064	833	1360	891	294	990	3568	3155	2678	3642	2378
cds-CAJ68106.1	2310	1661	872	1509	1385	414	1397	1657	1066	1297	1290	727
cds-CAJ68107.1	1184	1025	540	747	422	120	803	1016	774	931	957	586
cds-CAJ68108.1	9792	7694	4866	4721	3555	1049	4878	3108	2486	3123	2725	1593
cds-CAJ68109.1	7147	10109	10920	5093	6397	3520	6488	5231	4414	6060	5085	3592
cds-CAJ68110.1	2820	3852	4042	1974	2189	1423	2251	2353	1398	1634	1868	1642
cds-CAJ68111.1	417	443	249	195	185	54	210	260	197	228	159	97
cds-CAJ68112.1	594	721	561	334	379	156	414	334	279	357	230	87
cds-CAJ68113.1	5645	7723	9435	6288	9078	1471	4295	5627	5764	6947	12908	4621
cds-CAJ68114.1	1243	1267	1397	837	1363	199	595	704	828	1091	1083	476
cds-CAJ68115.1	68	28	94	512	250	208	813	843	716	4198	2399	2195
cds-CAJ68116.1	10567	9757	20817	8853	15291	24991	13835	21506	10381	13592	24419	19106
cds-CAJ68117.1	1936	1898	2263	1930	2244	617	1699	2973	2411	2399	3457	2236
cds-CAJ68118.1	1249	1395	1858	1325	1777	336	1196	2092	1389	1654	1796	1067
cds-CAJ68119.1	2485	3116	4701	2582	4879	1293	2202	3880	3200	3420	4797	3037
cds-CAJ68120.1	58	79	117	59	152	153	42	122	170	125	232	145
cds-CAJ68121.1	245	373	462	553	446	630	212	1661	1679	1416	2632	2191
cds-CAJ68122.2	6	8	4	3	2	0	7	156	210	176	183	101
cds-CAJ68123.1	4	3	6	10	0	2	10	113	111	142	147	102
cds-CAJ68124.1	86	54	54	42	28	16	60	71	77	113	95	61
cds-CAJ68125.1	152	103	78	71	40	20	41	77	126	123	150	110
cds-CAJ68126.1	34	34	43	32	18	6	32	62	45	63	70	31
cds-CAJ68127.1	0	6	2	5	4	0	2	5	3	19	2	9
cds-CAJ68128.1	48	14	22	28	20	6	40	35	43	164	94	34
cds-CAJ68129.1	1215	817	921	1109	693	73	745	1545	1349	1595	1661	641
cds-CAJ68130.1	6033	5132	4682	5196	4006	511	4145	5140	4261	5683	4653	2514
cds-CAJ68131.1	6037	6664	7517	7002	7240	813	5630	6208	4455	6240	5266	4807
cds-CAJ68132.2	313	251	211	355	274	57	309	800	898	2896	1051	783
cds-CAJ68133.1	120	105	91	109	92	6	105	180	173	388	162	165
cds-CAJ68134.1	9420	4005	352	7855	222	445	5136	465	1060	1138	2242	3013
