Geneid	A1_S61_early_BHI_1	A2_S62_early_BHI_2	A3_S63_early_BHI_3	A7_S64_late_BHI_1	A8_S65_late_BHI_2	A9_S66_late_BHI_3	B1_S67_early_butyrate_1	B2_S68_early_Butyrate_2	B3_S69_early_Butyrate_3	B7_S70_late_Butyrate_1	B8_S71_late_Butyrate_2	B9_S72_late_Butyrate_3
cds-CAJ69749.1	705	528	147	1109	68	18	955	30	16	105	16	19
cds-CAJ69750.2	898	670	213	1536	58	20	1303	40	12	81	16	14
cds-CAJ69751.1	159	166	88	150	80	18	116	144	103	438	277	120
cds-CAJ69752.1	30	24	22	36	20	6	101	283	557	10419	2207	3923
cds-CAJ69753.1	16	12	16	33	26	6	52	172	266	4726	1010	1570
cds-CAJ69754.1	1403	1428	1607	1336	1280	1016	1272	2573	1675	2674	2862	2037
cds-CAJ69755.1	1109	976	981	725	878	298	896	1077	661	944	987	672
cds-CAJ69756.2	28	22	22	18	16	0	20	44	56	1220	110	145
cds-CAJ69757.2	828	508	714	276	280	60	280	329	195	272	254	167
cds-CAJ69758.1	22	26	39	37	39	342	33	99	105	64	103	78
cds-CAJ69759.1	5	6	4	3	3	42	6	7	24	1	24	7
cds-CAJ69760.1	76	53	103	65	86	340	111	152	160	114	233	142
cds-CAJ69761.1	1036	698	808	1028	544	188	688	2092	2052	2747	3613	2354
cds-CAJ69762.1	188	124	103	113	89	117	100	220	185	503	293	749
cds-CAJ69763.1	96	61	56	56	70	82	45	61	54	118	73	207
cds-CAJ69764.1	96	46	32	35	36	20	33	50	66	81	69	337
cds-CAJ69765.1	97	61	25	21	6	14	34	15	27	41	19	284
cds-CAJ69766.1	106	58	22	24	0	8	28	10	2	32	8	507
cds-CAJ69767.1	230	260	284	249	188	66	136	393	248	324	464	666
cds-CAJ69768.1	1596	1083	1225	1454	1039	407	1109	981	407	623	642	604
cds-CAJ69769.1	3393	2645	3090	4381	2414	1067	3172	5067	3621	5145	6221	3367
cds-CAJ69770.1	6659	5473	6635	7696	5891	2272	6577	6397	4079	6353	5748	3771
cds-CAJ69771.1	244	117	163	162	116	284	376	211	265	287	224	192
cds-CAJ69772.1	32	24	30	27	25	63	51	26	39	28	27	18
cds-CAJ69773.1	54	33	71	67	35	58	73	137	75	140	148	90
cds-CAJ69774.1	93	94	94	86	65	29	64	90	66	110	132	117
cds-CAJ69775.1	81	80	111	102	54	36	84	801	927	538	1158	1183
cds-CAJ69776.1	74	120	91	108	62	14	58	174	150	449	251	146
cds-CAJ69777.3	224	207	224	287	309	356	177	3827	5434	6351	10532	14764
cds-CAJ69778.1	440	1343	2360	1893	3749	14773	1030	1966	843	783	2949	9644
cds-CAJ69779.1	5917	4830	5469	5080	4850	4051	4030	5220	4424	6769	8573	9301
cds-CAJ69780.1	1822	1480	1973	1546	1620	1195	1503	1986	2008	2752	3017	4056
cds-CAJ69781.1	36	47	34	61	35	24	32	1776	1852	2049	2904	4826
cds-CAJ69782.1	1	0	1	0	4	0	0	3	25	32	22	32
cds-CAJ69783.1	12	10	15	16	14	2	10	48	26	43	34	29
cds-CAJ69784.1	1	0	0	0	1	3	2	0	1	4	2	2
cds-CAJ69785.1	0	0	0	0	0	1	2	4	2	5	5	0
cds-CAJ69786.1	37	27	48	39	57	26	68	99	105	124	151	89
cds-CAJ69787.1	343	236	306	408	418	236	470	1171	1694	2175	2135	862
cds-CAJ69788.1	9	20	10	6	6	4	11	16	14	8	6	8
cds-CAJ69789.1	13	6	7	4	11	4	17	10	23	19	12	14
cds-CAJ69790.1	31	4	3	14	1	18	34	10	15	25	5	13
cds-CAJ69791.1	3	1	4	6	2	4	9	2	0	5	0	2
cds-CAJ69792.1	6	0	0	0	2	6	2	1	0	6	2	4
cds-CAJ69793.1	14	8	8	14	10	30	18	45	59	37	75	41
cds-CAJ69794.1	20	26	28	48	33	29	55	55	61	119	153	84
cds-CAJ69795.1	144	98	131	78	178	132	157	162	212	190	273	180
cds-CAJ69796.1	310	400	374	280	454	324	218	501	315	274	462	555
cds-CAJ69797.1	181	233	238	307	279	169	143	837	730	604	912	893
cds-CAJ69798.1	381	717	1327	896	1576	3530	722	2646	1855	2101	4163	6184
cds-CAJ69799.1	1	0	5	2	2	4	0	9	23	24	48	42
cds-CAJ69800.1	0	2	0	2	2	0	0	2	0	0	0	0
cds-CAJ69801.1	22	20	24	34	44	20	24	48	48	42	36	26
cds-CAJ69802.2	0	0	0	0	0	0	0	0	0	1	0	0
cds-CAJ69803.1	2	0	4	2	2	4	0	5	8	10	4	3
cds-CAJ69804.1	14	9	32	2	6	8	6	10	21	21	44	17
cds-CAJ69805.1	6	7	22	12	16	6	11	18	31	11	14	8
cds-CAJ69806.2	15	14	22	11	16	9	13	26	20	47	46	28
cds-CAJ69807.1	0	5	0	1	2	3	0	1	1	2	4	3
cds-CAJ69808.1	27	12	24	12	27	37	14	30	34	54	50	28
cds-CAJ69809.1	0	0	0	0	3	1	0	0	0	8	8	2
cds-CAJ69810.2	0	0	0	1	0	0	0	1	7	4	18	13
cds-CAJ69811.1	56	38	38	34	36	32	32	80	54	160	101	57
cds-CAJ69812.1	38	30	16	48	26	16	34	48	50	56	60	39
cds-CAJ69813.2	35	20	11	22	21	13	29	52	38	51	64	33
cds-CAJ69814.1	17	6	4	9	8	3	9	12	13	3	11	4
cds-CAJ69815.1	4	14	34	67	64	102	35	1312	2164	1040	2162	3388
cds-CAJ69816.1	21	47	43	45	89	161	44	4583	6483	6132	10419	20652
cds-CAJ69817.1	970	1399	2042	2023	2611	2978	1217	4181	3939	3215	7702	7776
cds-CAJ69818.2	1677	1067	1870	2398	2753	2080	2489	4963	6084	7446	16519	13584
cds-CAJ69819.1	165	87	164	278	230	130	245	1352	2014	2150	5219	4660
cds-CAJ69820.1	5	2	2	12	2	9	5	44	48	128	86	77
cds-CAJ69821.1	7	11	6	32	14	16	15	10	15	37	34	29
cds-CAJ69822.2	5	9	2	15	6	30	5	10	13	30	14	8
cds-CAJ69823.2	2	0	0	2	4	2	0	4	0	2	2	0
cds-CAJ69824.1	2	1	2	1	0	5	0	0	0	7	3	3
cds-CAJ69825.1	2	4	13	9	8	13	2	3	0	9	3	5
cds-CCA62884.1	0	3	0	0	2	0	1	0	1	2	2	0
cds-CAJ69826.1	0	0	0	0	0	8	2	0	2	0	0	0
cds-CAJ69827.1	2	2	0	8	2	2	4	6	4	22	12	0
cds-CAJ69828.1	0	0	0	0	2	2	4	6	4	4	0	0
cds-CAJ69829.1	0	0	0	0	0	1	0	0	0	0	0	0
cds-CAJ69830.1	0	0	0	0	2	0	0	0	0	0	0	0
cds-CAJ69831.1	8	3	0	0	0	12	5	0	0	0	0	0
cds-CAJ69832.1	2	3	6	8	2	10	8	4	6	11	12	4
cds-CAJ69833.1	0	1	0	4	0	16	0	0	2	2	0	0
cds-CAJ69834.1	92	53	43	63	39	141	40	53	35	54	57	19
cds-CAJ69835.2	38	27	15	24	24	51	30	26	23	48	34	14
cds-CAJ69836.1	13	2	15	5	4	13	4	1	2	8	8	0
cds-CAJ69837.1	0	0	0	2	2	0	0	6	11	5	8	8
cds-CAJ69838.2	0	4	0	0	0	0	0	0	0	2	0	2
cds-CAJ69839.1	0	0	0	4	0	2	0	1	0	2	0	0
cds-CAJ69840.1	2	0	2	4	0	4	2	2	2	12	8	2
cds-CAJ69841.1	2	2	0	2	0	10	4	2	0	0	2	0
cds-CAJ69842.1	373	280	350	329	293	127	244	405	302	491	875	461
cds-CAJ69843.1	212	163	366	264	255	103	223	673	591	900	1369	831
cds-CAJ69844.1	521	355	589	429	400	149	357	876	809	1086	1449	1014
cds-CAJ69845.1	237	145	167	163	161	26	117	258	205	440	332	124
cds-CAJ69846.1	410	233	236	260	215	413	482	1001	531	947	777	452
cds-CAJ69847.1	1953	816	928	915	1008	1605	2089	3688	2176	3637	2713	1132
cds-CAJ69848.1	1598	810	940	927	998	1514	2171	3578	1928	3389	2416	1146
cds-CAJ69849.2	280	163	162	142	195	271	355	540	424	584	516	233
cds-CAJ69850.1	316	157	179	124	122	305	397	1177	606	1037	932	399
cds-CAJ69851.1	210	131	103	87	179	280	313	620	484	530	437	231
cds-CAJ69852.1	402	205	212	195	262	484	604	787	525	866	600	273
cds-CAJ69853.1	984	422	538	387	564	1087	1346	2438	1573	2000	2219	1261
cds-CAJ69854.1	416	158	280	188	268	498	511	817	698	801	1055	625
cds-CAJ69855.1	40	27	41	29	48	107	34	204	200	78	285	344
cds-CAJ69856.1	10610	7771	12595	8846	9345	6500	6907	12041	8485	7406	14280	11136
cds-CAJ69857.1	34	28	81	102	119	84	42	167	142	166	273	388
