time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
56700	0.4721667	0.50075	0.6040833	0.49225	0.52075	0.569	0.50925	0.5048333	0.53325	0.5846667	0.5258333	0.5488333	0.5649167	0.5471667	0.5154167	0.5421667	0.5908333	0.5236667	0.5518333	0.5854167	0.55525
57600	0.4879167	0.5085833	0.6011667	0.4908333	0.5079167	0.4935833	0.56425	0.5194167	0.5428333	0.5841667	0.5260833	0.5328333	0.4888333	0.60025	0.532	0.5515833	0.58825	0.5213333	0.5366667	0.5111667	0.6085833
58500	0.4896667	0.4905	0.5249167	0.5458333	0.5175	0.5013333	0.5620833	0.5216667	0.52375	0.5079167	0.5791667	0.5435	0.4941667	0.5983333	0.5343333	0.5329167	0.51075	0.5745833	0.54475	0.5163333	0.60825
59400	0.5473333	0.5049167	0.5345833	0.54275	0.5175833	0.4809167	0.4895833	0.58	0.5378333	0.51475	0.57525	0.5436667	0.4761667	0.5266667	0.5908333	0.5478333	0.5175833	0.5745	0.5458333	0.5005833	0.5325833
60300	0.5461667	0.50525	0.518	0.4684167	0.5713333	0.4915	0.4989167	0.5763333	0.5366667	0.4995	0.5003333	0.6005	0.48475	0.5365833	0.5910833	0.549	0.5009167	0.4988333	0.60275	0.5080833	0.5441667
61200	0.4638333	0.5626667	0.5305	0.474	0.5694167	0.4893333	0.4820833	0.4938333	0.5958333	0.51175	0.5086667	0.59825	0.4836667	0.5196667	0.5075833	0.6095833	0.5125	0.5064167	0.59975	0.5066667	0.5276667
62100	0.46925	0.56375	0.52975	0.4580833	0.49475	0.5445	0.496	0.50125	0.5981667	0.511	0.4895	0.5270833	0.5359167	0.5330833	0.5160833	0.60775	0.5125	0.4885	0.5279167	0.5590833	0.5399167
63000	0.4506667	0.4831667	0.5875	0.46875	0.506	0.5413333	0.4935	0.4808333	0.5145833	0.57	0.499	0.5365	0.53425	0.533	0.49525	0.5279167	0.5705	0.496	0.5360833	0.5591667	0.5379167
63900	0.4661667	0.4930833	0.5843333	0.4673333	0.4920833	0.4656667	0.5480833	0.49625	0.5246667	0.56975	0.4970833	0.5209167	0.458	0.58725	0.5093333	0.5378333	0.569	0.4955	0.5215	0.48575	0.5898333
64800	0.4679167	0.4746667	0.5091667	0.5239167	0.5004167	0.4738333	0.5490833	0.4976667	0.5056667	0.49425	0.5536667	0.5306667	0.4650833	0.5879167	0.5146667	0.5191667	0.4933333	0.5520833	0.5323333	0.4925833	0.5911667
65700	0.5273333	0.48875	0.5164167	0.5198333	0.5025	0.4565833	0.4753333	0.5563333	0.5225	0.5033333	0.5515	0.5316667	0.44775	0.5136667	0.5716667	0.536	0.5014167	0.5520833	0.53125	0.4759167	0.51775
66600	0.5261667	0.4905	0.5015	0.4470833	0.5601667	0.468	0.48575	0.5543333	0.5235833	0.48825	0.4749167	0.58875	0.4580833	0.5265	0.5721667	0.5368333	0.4846667	0.477	0.5881667	0.48775	0.5300833
67500	0.4424167	0.5501667	0.5153333	0.4546667	0.5556667	0.467	0.4690833	0.4719167	0.58375	0.5025	0.483	0.58775	0.4566667	0.5086667	0.4899167	0.5955833	0.4983333	0.48525	0.5869167	0.4861667	0.514
