time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
33300	0.6326667	0.581	0.6174167	0.65425	0.65375	0.6460833	0.7103333	0.6930833	0.6435	0.6229167	0.693	0.6469167	0.6415	0.70725	0.481	0.4235833	0.41375	0.4739167	0.4225833	0.4416667	0.5350833
34200	0.687	0.5941667	0.6195	0.673	0.6546667	0.632	0.6363333	0.7481667	0.6550833	0.6271667	0.6983333	0.6475833	0.6231667	0.6310833	0.53775	0.4380833	0.42275	0.4791667	0.4234167	0.4276667	0.4624167
35100	0.68325	0.5879167	0.5993333	0.6139167	0.7101667	0.6394167	0.6421667	0.747	0.651	0.6075833	0.6266667	0.7015	0.6341667	0.6385833	0.539	0.43875	0.4081667	0.407	0.4795	0.4393333	0.4705
36000	0.5970833	0.6473333	0.6076667	0.6343333	0.71	0.6401667	0.6244167	0.65925	0.7090833	0.6194167	0.6413333	0.6974167	0.6325	0.619	0.4546667	0.5003333	0.4205833	0.4183333	0.47825	0.4388333	0.45675
36900	0.6069167	0.6470833	0.6068333	0.6275	0.6335833	0.6936667	0.6306667	0.6658333	0.71075	0.61925	0.62425	0.61925	0.6830833	0.6268333	0.4646667	0.5019167	0.4245833	0.404	0.4034167	0.49475	0.4699167
37800	0.5839167	0.5608333	0.65975	0.6408333	0.64175	0.68925	0.6303333	0.6413333	0.62875	0.6754167	0.63475	0.62525	0.67825	0.6264167	0.4438333	0.4216667	0.4815	0.4115	0.412	0.4921667	0.46975
38700	0.6021667	0.5693333	0.6588333	0.6464167	0.6204167	0.613	0.6823333	0.6559167	0.6348333	0.6691667	0.6331667	0.60925	0.6048333	0.6781667	0.4631667	0.431	0.4803333	0.4114167	0.3973333	0.4164167	0.526
39600	0.604	0.5509167	0.5763333	0.705	0.6273333	0.618	0.6790833	0.6590833	0.61275	0.5874167	0.68425	0.6189167	0.6086667	0.6763333	0.4694167	0.41275	0.4039167	0.46525	0.4068333	0.4270833	0.5240833
40500	0.65825	0.5636667	0.5823333	0.7016667	0.6265833	0.5981667	0.6040833	0.712	0.6284167	0.5935833	0.6821667	0.6176667	0.59	0.60075	0.5245833	0.4256667	0.4130833	0.4615	0.4084167	0.4095	0.4531667
41400	0.65425	0.5643333	0.5591667	0.6255	0.6785	0.6045	0.6134167	0.7083333	0.628	0.5775	0.6034167	0.67175	0.59725	0.6045	0.524	0.4284167	0.3965	0.384	0.4656667	0.42025	0.4633333
42300	0.5681667	0.6235	0.57125	0.6308333	0.6764167	0.604	0.5908333	0.61725	0.6841667	0.5855	0.60625	0.6661667	0.5961667	0.5891667	0.4393333	0.4881667	0.411	0.3894167	0.4635	0.4195833	0.4440833
43200	0.57575	0.6189167	0.5710833	0.606	0.6026667	0.6554167	0.6006667	0.6251667	0.6821667	0.5833333	0.5865	0.592	0.6503333	0.5933333	0.4485	0.48725	0.41	0.371	0.38825	0.47425	0.45675
44100	0.5506667	0.538	0.6245	0.614	0.60725	0.653	0.5990833	0.5989167	0.59725	0.63775	0.5930833	0.59775	0.6440833	0.5925	0.42525	0.4071667	0.46975	0.3801667	0.39525	0.4719167	0.4533333
45000	0.5654167	0.5448333	0.6221667	0.6105	0.5868333	0.57575	0.64825	0.6115833	0.6046667	0.63375	0.59	0.57725	0.5683333	0.6425833	0.44325	0.4165833	0.4655	0.3803333	0.3815833	0.3980833	0.5101667
45900	0.5668333	0.5243333	0.54075	0.6615	0.5959167	0.5805833	0.6476667	0.6143333	0.58225	0.5548333	0.64325	0.5838333	0.57225	0.6364167	0.4463333	0.3965	0.3893333	0.4365	0.3903333	0.4045	0.5083333
46800	0.6178333	0.53425	0.54275	0.6569167	0.5926667	0.56125	0.5735	0.6651667	0.5914167	0.5555833	0.6394167	0.5840833	0.552	0.5651667	0.5025	0.4089167	0.3966667	0.4338333	0.3913333	0.3883333	0.43375
47700	0.6156667	0.5330833	0.5243333	0.5794167	0.6458333	0.57075	0.5753333	0.6615833	0.5895833	0.5356667	0.564	0.6351667	0.5593333	0.5690833	0.50125	0.4085833	0.3788333	0.3589167	0.4475833	0.3990833	0.4415833
48600	0.52825	0.587	0.5350833	0.5793333	0.6431667	0.5668333	0.5569167	0.57525	0.6425	0.5428333	0.5650833	0.6308333	0.5538333	0.548	0.4146667	0.4670833	0.391	0.36625	0.4459167	0.3975	0.42175
49500	0.5324167	0.5840833	0.53075	0.5605833	0.56775	0.6190833	0.5658333	0.5805833	0.6390833	0.53975	0.5463333	0.5546667	0.6060833	0.5543333	0.42425	0.4649167	0.3914167	0.35025	0.37125	0.452	0.4334167
50400	0.50775	0.5020833	0.5865	0.5689167	0.5713333	0.61575	0.5580833	0.558	0.5568333	0.5925	0.5515833	0.5595833	0.60475	0.5505833	0.3995833	0.3869167	0.4469167	0.3614167	0.3774167	0.4500833	0.4313333
51300	0.5233333	0.5035833	0.582	0.5649167	0.5496667	0.5374167	0.6089167	0.56975	0.5600833	0.58575	0.5501667	0.53725	0.5259167	0.5986667	0.4176667	0.3933333	0.4466667	0.3630833	0.3605	0.3760833	0.4825
52200	0.52075	0.4805833	0.4973333	0.6188333	0.5538333	0.544	0.60475	0.5709167	0.5385	0.5049167	0.6056667	0.5424167	0.53025	0.5955833	0.419	0.37225	0.3656667	0.4198333	0.3698333	0.3819167	0.4824167
53100	0.5751667	0.4935	0.5030833	0.6158333	0.55225	0.5239167	0.5255833	0.6280833	0.5435	0.50625	0.5985	0.5404167	0.50725	0.5174167	0.4761667	0.38725	0.3713333	0.4193333	0.3691667	0.36575	0.4095833
