time	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5	Ace25	Ace5	BHI	But25	But5	Pro25	Pro5
33300	0.4703333	0.4811667	0.5224167	0.3031667	0.4645833	0.2978333	0.5325833	0.4906667	0.4783333	0.49375	0.3185833	0.4615	0.317	0.5015833	0.5073333	0.498	0.46475	0.2805	0.4251667	0.36475	0.5246667	0.5350833	0.5143333	0.47875	0.328	0.4610833	0.3510833	0.5416667	0.30725	0.3053333	0.3130833	0.1586667	0.2609167	0.1869167	0.34125	0.4841667	0.4823333	0.4980833	0.26275	0.4124167	0.35775	0.5380833	0.4129167	0.4205	0.456	0.2404167	0.3669167	0.2340833	0.4318333
34200	0.5475833	0.5175	0.5388333	0.3176667	0.4883333	0.3014167	0.4785833	0.56375	0.51175	0.5144167	0.3350833	0.48325	0.318	0.4545	0.5945833	0.5455	0.50825	0.3080833	0.4608333	0.38325	0.4909167	0.6225833	0.5600833	0.5145	0.3559167	0.49225	0.3674167	0.4991667	0.38475	0.34675	0.34	0.1721667	0.2859167	0.1865833	0.2945	0.5686667	0.52	0.5311667	0.2814167	0.4395833	0.3713333	0.4880833	0.4865833	0.4549167	0.4829167	0.2540833	0.3903333	0.2344167	0.3805833
35100	0.57425	0.525	0.5246667	0.2571667	0.5595	0.3299167	0.49925	0.583	0.5198333	0.5025	0.2766667	0.5504167	0.3474167	0.4778333	0.6268333	0.5730833	0.5193333	0.26125	0.5470833	0.429	0.5264167	0.6431667	0.581	0.5218333	0.31	0.57225	0.40925	0.5328333	0.40675	0.3716667	0.3465	0.1115833	0.3688333	0.2166667	0.3256667	0.5935	0.5350833	0.5304167	0.22725	0.52175	0.4023333	0.51875	0.5083333	0.4739167	0.4781667	0.1924167	0.4648333	0.2644167	0.4060833
36000	0.5154167	0.5875	0.5359167	0.27825	0.57375	0.3496667	0.4861667	0.5149167	0.5853333	0.5180833	0.3001667	0.5665	0.3696667	0.4754167	0.5695833	0.6625	0.5668333	0.2993333	0.5823333	0.4655	0.54025	0.5874167	0.6670833	0.56225	0.3474167	0.5965	0.4386667	0.5434167	0.33975	0.44875	0.3825833	0.137	0.3891667	0.2349167	0.3321667	0.5246667	0.60825	0.5551667	0.25975	0.5436667	0.4251667	0.5166667	0.4425833	0.5489167	0.5103333	0.218	0.48075	0.2840833	0.409
36900	0.5408333	0.5921667	0.5435833	0.2779167	0.5115	0.42325	0.50725	0.5343333	0.5951667	0.52625	0.3005833	0.5153333	0.444	0.49725	0.6115833	0.6829167	0.592	0.3135833	0.5381667	0.5561667	0.5794167	0.6164167	0.6851667	0.58675	0.3656667	0.5474167	0.5215	0.58025	0.3685833	0.4726667	0.40275	0.1358333	0.3429167	0.3076667	0.366	0.5494167	0.6206667	0.5693333	0.2661667	0.4945	0.5046667	0.5446667	0.4718333	0.5693333	0.5274167	0.2149167	0.4269167	0.3548333	0.43675
37800	0.529	0.5160833	0.6066667	0.3093333	0.52375	0.4436667	0.5109167	0.5201667	0.5173333	0.5883333	0.3303333	0.5328333	0.45975	0.5084167	0.6139167	0.62375	0.6746667	0.3575833	0.57825	0.5915	0.6033333	0.6174167	0.6159167	0.6655833	0.4106667	0.578	0.5470833	0.6053333	0.3731667	0.40625	0.4755833	0.1643333	0.3746667	0.3228333	0.38825	0.53975	0.5525833	0.6370833	0.2986667	0.5268333	0.5246667	0.5621667	0.4683333	0.50125	0.60525	0.2405	0.45125	0.3711667	0.4545
38700	0.5525	0.535	0.6125	0.3284167	0.50525	0.3851667	0.5726667	0.5448333	0.52875	0.597	0.3486667	0.5258333	0.4049167	0.5729167	0.64975	0.6504167	0.6961667	0.38875	0.5855	0.5465	0.6815833	0.6369167	0.631	0.677	0.4389167	0.59175	0.4900833	0.67975	0.4095833	0.43425	0.4933333	0.1816667	0.3810833	0.2668333	0.462	0.5705	0.57525	0.651	0.3215	0.53175	0.4715	0.628	0.50675	0.5318333	0.62	0.2624167	0.4536667	0.3119167	0.5246667
39600	0.5575	0.5224167	0.5383333	0.3980833	0.51575	0.407	0.572	0.5531667	0.515	0.5243333	0.4220833	0.54325	0.4251667	0.57075	0.6691667	0.6468333	0.6358333	0.478	0.62025	0.58575	0.7025	0.6504167	0.6188333	0.60275	0.51925	0.6179167	0.5210833	0.68825	0.4359167	0.43675	0.43075	0.2583333	0.40825	0.2921667	0.4809167	0.5864167	0.5621667	0.58325	0.39775	0.5586667	0.5010833	0.63325	0.5295833	0.5225	0.5561667	0.3360833	0.47975	0.3361667	0.5429167
40500	0.6176667	0.5361667	0.5511667	0.4168333	0.5189167	0.4031667	0.5029167	0.6175	0.54	0.5365833	0.4328333	0.5446667	0.4296667	0.50125	0.7391667	0.67525	0.6549167	0.50775	0.64275	0.5933333	0.63975	0.7134167	0.6375833	0.62025	0.54125	0.6279167	0.5273333	0.62025	0.5080833	0.4633333	0.45975	0.2746667	0.42575	0.29575	0.4285	0.6539167	0.589	0.59775	0.4189167	0.5676667	0.5113333	0.57575	0.60275	0.5516667	0.5746667	0.3549167	0.4941667	0.3345833	0.4901667
41400	0.62225	0.5405833	0.5336667	0.3611667	0.5789167	0.4328333	0.512	0.6208333	0.5393333	0.5194167	0.37725	0.6035	0.4565833	0.5119167	0.7494167	0.6840833	0.64425	0.4656667	0.7148333	0.6228333	0.66425	0.7169167	0.64725	0.6079167	0.4876667	0.6916667	0.5700833	0.6341667	0.52975	0.486	0.4598333	0.2215833	0.5	0.3270833	0.4506667	0.6660833	0.60525	0.5929167	0.3620833	0.6323333	0.5406667	0.5905833	0.61525	0.56525	0.5728333	0.2978333	0.5678333	0.36575	0.5169167
